formula_index,location,document_paragraph,context,source_object,source_formula_decoded_now,converted_formula_in_existing_docx,diagnostic_normalized_source,diagnostic_normalized_converted,mismatch_reason,current_decoder_valid,current_decoder_error
56,"{'block_index': 33, 'paragraph_index': 50, 'table_index': 4, 'row': 1, 'col': 0, 'run_index': 2, 'in_table_cell': True}",65,▲圖7▲圖7這表示角的正弦比與其對邊長度成比例這表示角的正弦比與其對邊長度成比例[MathType OLE]寫成連比例式,word/embeddings/oleObject56.bin,$ \frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC }=2R $,[MATH_PARSE_FAILED_56],\frac { a } { sinA }=\frac { b } { sinB }=\frac { c } { sinC }=2R,[MATH_PARSE_FAILED_56],conversion_failure_placeholder; historical per-object error unavailable,True,
57,"{'block_index': 33, 'paragraph_index': 51, 'table_index': 4, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",70,[MathType OLE],word/embeddings/oleObject57.bin,"$ a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \,sinB\,\ :\ \,sinC $",[MATH_PARSE_FAILED_57],"a\,\ :\ \,b\,\ :\ \,c=sinA\,\ :\ \,sinB\,\ :\ \,sinC",[MATH_PARSE_FAILED_57],conversion_failure_placeholder; historical per-object error unavailable,True,
58,"{'block_index': 40, 'paragraph_index': 60, 'table_index': 5, 'row': 0, 'col': 0, 'run_index': 4, 'in_table_cell': True}",79,在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject58.bin,$ \angle A=45{}^\circ  $,[MATH_PARSE_FAILED_58],\angle A=45{}^\circ,[MATH_PARSE_FAILED_58],conversion_failure_placeholder; historical per-object error unavailable,True,
59,"{'block_index': 40, 'paragraph_index': 60, 'table_index': 5, 'row': 0, 'col': 0, 'run_index': 6, 'in_table_cell': True}",79,在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject59.bin,$ \angle B=60{}^\circ  $,[MATH_PARSE_FAILED_59],\angle B=60{}^\circ,[MATH_PARSE_FAILED_59],conversion_failure_placeholder; historical per-object error unavailable,True,
60,"{'block_index': 40, 'paragraph_index': 60, 'table_index': 5, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",79,在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求a及其外接圓半徑R。,word/embeddings/oleObject60.bin,$ b=3\sqrt[] { 6 } $,[MATH_PARSE_FAILED_60],b=3\sqrt[] { 6 },[MATH_PARSE_FAILED_60],conversion_failure_placeholder; historical per-object error unavailable,True,
61,"{'block_index': 40, 'paragraph_index': 62, 'table_index': 5, 'row': 1, 'col': 0, 'run_index': 2, 'in_table_cell': True}",81,由正弦定理知[MathType OLE],word/embeddings/oleObject61.bin,$ \frac { a } { sinA }=\frac { b } { sinB }=2R $,[MATH_PARSE_FAILED_61],\frac { a } { sinA }=\frac { b } { sinB }=2R,[MATH_PARSE_FAILED_61],conversion_failure_placeholder; historical per-object error unavailable,True,
62,"{'block_index': 40, 'paragraph_index': 63, 'table_index': 5, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",82,代入得[MathType OLE],word/embeddings/oleObject62.bin,$ \frac { a } { sin45{}^\circ  }=\frac { 3\sqrt[] { 6 } } { sin60{}^\circ  }=2R $,[MATH_PARSE_FAILED_62],\frac { a } { sin45{}^\circ }=\frac { 3\sqrt[] { 6 } } { sin60{}^\circ }=2R,[MATH_PARSE_FAILED_62],conversion_failure_placeholder; historical per-object error unavailable,True,
63,"{'block_index': 40, 'paragraph_index': 64, 'table_index': 5, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",83,即[MathType OLE],word/embeddings/oleObject63.bin,$ \frac { a } { \frac { 1 } { \sqrt[] { 2 } } }=\frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } }=2R $,[MATH_PARSE_FAILED_63],\frac { a } { \frac { 1 } { \sqrt[] { 2 } } }=\frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } }=2R,[MATH_PARSE_FAILED_63],conversion_failure_placeholder; historical per-object error unavailable,True,
64,"{'block_index': 42, 'paragraph_index': 66, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 3, 'in_table_cell': True}",85,(1)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject64.bin,$ \frac { a } { \frac { 1 } { \sqrt[] { 2 } } }=\frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } } $,[MATH_PARSE_FAILED_64],\frac { a } { \frac { 1 } { \sqrt[] { 2 } } }=\frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } },[MATH_PARSE_FAILED_64],conversion_failure_placeholder; historical per-object error unavailable,True,
65,"{'block_index': 42, 'paragraph_index': 66, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 5, 'in_table_cell': True}",85,(1)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject65.bin,$ a\times \frac { \sqrt[] { 3 } } { 2 }=3\sqrt[] { 6 }\times \frac { 1 } { \sqrt[] { 2 } } $,[MATH_PARSE_FAILED_65],a\times \frac { \sqrt[] { 3 } } { 2 }=3\sqrt[] { 6 }\times \frac { 1 } { \sqrt[] { 2 } },[MATH_PARSE_FAILED_65],conversion_failure_placeholder; historical per-object error unavailable,True,
66,"{'block_index': 42, 'paragraph_index': 66, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",85,(1)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject66.bin,$ a=3\sqrt[] { 6 }\times \frac { 1 } { \sqrt[] { 2 } }\times \frac { 2 } { \sqrt[] { 3 } }=6 $,[MATH_PARSE_FAILED_66],a=3\sqrt[] { 6 }\times \frac { 1 } { \sqrt[] { 2 } }\times \frac { 2 } { \sqrt[] { 3 } }=6,[MATH_PARSE_FAILED_66],conversion_failure_placeholder; historical per-object error unavailable,True,
67,"{'block_index': 42, 'paragraph_index': 67, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 3, 'in_table_cell': True}",86,(2)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject67.bin,$ \frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } }=2R $,[MATH_PARSE_FAILED_67],\frac { 3\sqrt[] { 6 } } { \frac { \sqrt[] { 3 } } { 2 } }=2R,[MATH_PARSE_FAILED_67],conversion_failure_placeholder; historical per-object error unavailable,True,
68,"{'block_index': 42, 'paragraph_index': 67, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 5, 'in_table_cell': True}",86,(2)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject68.bin,$ 2R=3\sqrt[] { 6 }\times \frac { 2 } { \sqrt[] { 3 } }=6\sqrt[] { 2 } $,[MATH_PARSE_FAILED_68],2R=3\sqrt[] { 6 }\times \frac { 2 } { \sqrt[] { 3 } }=6\sqrt[] { 2 },[MATH_PARSE_FAILED_68],conversion_failure_placeholder; historical per-object error unavailable,True,
69,"{'block_index': 42, 'paragraph_index': 67, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 8, 'in_table_cell': True}",86,(2)由[MathType OLE]得[MathType OLE]故[MathType OLE],word/embeddings/oleObject69.bin,$ R=3\sqrt[] { 2 } $,[MATH_PARSE_FAILED_69],R=3\sqrt[] { 2 },[MATH_PARSE_FAILED_69],conversion_failure_placeholder; historical per-object error unavailable,True,
70,"{'block_index': 42, 'paragraph_index': 70, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 7, 'in_table_cell': True}",89,2.在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求c及其外接圓半徑R。,word/embeddings/oleObject70.bin,$ \angle B=30{}^\circ  $,[MATH_PARSE_FAILED_70],\angle B=30{}^\circ,[MATH_PARSE_FAILED_70],conversion_failure_placeholder; historical per-object error unavailable,True,
71,"{'block_index': 42, 'paragraph_index': 70, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 9, 'in_table_cell': True}",89,2.在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求c及其外接圓半徑R。,word/embeddings/oleObject71.bin,$ \angle C=120{}^\circ  $,[MATH_PARSE_FAILED_71],\angle C=120{}^\circ,[MATH_PARSE_FAILED_71],conversion_failure_placeholder; historical per-object error unavailable,True,
72,"{'block_index': 42, 'paragraph_index': 70, 'table_index': 6, 'row': 0, 'col': 0, 'run_index': 11, 'in_table_cell': True}",89,2.在△ABC中，若[MathType OLE]，[MathType OLE]，且[MathType OLE]，試求c及其外接圓半徑R。,word/embeddings/oleObject72.bin,$ b=6 $,[MATH_PARSE_FAILED_72],b=6,[MATH_PARSE_FAILED_72],conversion_failure_placeholder; historical per-object error unavailable,True,
73,"{'block_index': 44, 'paragraph_index': 74, 'table_index': 7, 'row': 0, 'col': 0, 'run_index': 3, 'in_table_cell': True}",93,△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject73.bin,$ \angle A=60{}^\circ  $,[MATH_PARSE_FAILED_73],\angle A=60{}^\circ,[MATH_PARSE_FAILED_73],conversion_failure_placeholder; historical per-object error unavailable,True,
74,"{'block_index': 44, 'paragraph_index': 74, 'table_index': 7, 'row': 0, 'col': 0, 'run_index': 5, 'in_table_cell': True}",93,△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject74.bin,$ a=6 $,[MATH_PARSE_FAILED_74],a=6,[MATH_PARSE_FAILED_74],conversion_failure_placeholder; historical per-object error unavailable,True,
75,"{'block_index': 44, 'paragraph_index': 74, 'table_index': 7, 'row': 0, 'col': 0, 'run_index': 7, 'in_table_cell': True}",93,△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject75.bin,$ b=2\sqrt[] { 6 } $,[MATH_PARSE_FAILED_75],b=2\sqrt[] { 6 },[MATH_PARSE_FAILED_75],conversion_failure_placeholder; historical per-object error unavailable,True,
76,"{'block_index': 44, 'paragraph_index': 74, 'table_index': 7, 'row': 0, 'col': 0, 'run_index': 9, 'in_table_cell': True}",93,△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject76.bin,$ \angle B $,[MATH_PARSE_FAILED_76],\angle B,[MATH_PARSE_FAILED_76],conversion_failure_placeholder; historical per-object error unavailable,True,
77,"{'block_index': 44, 'paragraph_index': 76, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",95,由正弦定理知[MathType OLE],word/embeddings/oleObject77.bin,$ \frac { a } { sinA }=\frac { b } { sinB } $,[MATH_PARSE_FAILED_77],\frac { a } { sinA }=\frac { b } { sinB },[MATH_PARSE_FAILED_77],conversion_failure_placeholder; historical per-object error unavailable,True,
78,"{'block_index': 44, 'paragraph_index': 77, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",96,代入得[MathType OLE],word/embeddings/oleObject78.bin,$ \frac { 6 } { sin60{}^\circ  }=\frac { 2\sqrt[] { 6 } } { sinB } $,[MATH_PARSE_FAILED_78],\frac { 6 } { sin60{}^\circ }=\frac { 2\sqrt[] { 6 } } { sinB },[MATH_PARSE_FAILED_78],conversion_failure_placeholder; historical per-object error unavailable,True,
79,"{'block_index': 44, 'paragraph_index': 78, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 2, 'in_table_cell': True}",97,即[MathType OLE]，整理得[MathType OLE]，則[MathType OLE]或135°,word/embeddings/oleObject79.bin,$ 6sinB=2\sqrt[] { 6 }\times \frac { \sqrt[] { 3 } } { 2 } $,[MATH_PARSE_FAILED_79],6sinB=2\sqrt[] { 6 }\times \frac { \sqrt[] { 3 } } { 2 },[MATH_PARSE_FAILED_79],conversion_failure_placeholder; historical per-object error unavailable,True,
80,"{'block_index': 44, 'paragraph_index': 78, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 4, 'in_table_cell': True}",97,即[MathType OLE]，整理得[MathType OLE]，則[MathType OLE]或135°,word/embeddings/oleObject80.bin,$ sinB=\frac { \sqrt[] { 2 } } { 2 } $,[MATH_PARSE_FAILED_80],sinB=\frac { \sqrt[] { 2 } } { 2 },[MATH_PARSE_FAILED_80],conversion_failure_placeholder; historical per-object error unavailable,True,
81,"{'block_index': 44, 'paragraph_index': 78, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 6, 'in_table_cell': True}",97,即[MathType OLE]，整理得[MathType OLE]，則[MathType OLE]或135°,word/embeddings/oleObject81.bin,$ \angle B=45{}^\circ  $,[MATH_PARSE_FAILED_81],\angle B=45{}^\circ,[MATH_PARSE_FAILED_81],conversion_failure_placeholder; historical per-object error unavailable,True,
82,"{'block_index': 44, 'paragraph_index': 79, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",98,又[MathType OLE]，所以[MathType OLE]，故得[MathType OLE],word/embeddings/oleObject82.bin,$ b < a $,[MATH_PARSE_FAILED_82],b < a,[MATH_PARSE_FAILED_82],conversion_failure_placeholder; historical per-object error unavailable,True,
83,"{'block_index': 44, 'paragraph_index': 79, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 3, 'in_table_cell': True}",98,又[MathType OLE]，所以[MathType OLE]，故得[MathType OLE],word/embeddings/oleObject83.bin,$ \angle B < \angle A $,[MATH_PARSE_FAILED_83],\angle B < \angle A,[MATH_PARSE_FAILED_83],conversion_failure_placeholder; historical per-object error unavailable,True,
84,"{'block_index': 44, 'paragraph_index': 79, 'table_index': 7, 'row': 1, 'col': 0, 'run_index': 5, 'in_table_cell': True}",98,又[MathType OLE]，所以[MathType OLE]，故得[MathType OLE],word/embeddings/oleObject84.bin,$ \angle B=45{}^\circ  $,[MATH_PARSE_FAILED_84],\angle B=45{}^\circ,[MATH_PARSE_FAILED_84],conversion_failure_placeholder; historical per-object error unavailable,True,
85,"{'block_index': 46, 'paragraph_index': 82, 'table_index': 8, 'row': 0, 'col': 0, 'run_index': 5, 'in_table_cell': True}",101,3.△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject85.bin,$ a=2\sqrt[] { 3 } $,[MATH_PARSE_FAILED_85],a=2\sqrt[] { 3 },[MATH_PARSE_FAILED_85],conversion_failure_placeholder; historical per-object error unavailable,True,
86,"{'block_index': 46, 'paragraph_index': 82, 'table_index': 8, 'row': 0, 'col': 0, 'run_index': 7, 'in_table_cell': True}",101,3.△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject86.bin,$ b=2\sqrt[] { 2 } $,[MATH_PARSE_FAILED_86],b=2\sqrt[] { 2 },[MATH_PARSE_FAILED_86],conversion_failure_placeholder; historical per-object error unavailable,True,
87,"{'block_index': 46, 'paragraph_index': 82, 'table_index': 8, 'row': 0, 'col': 0, 'run_index': 9, 'in_table_cell': True}",101,3.△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject87.bin,$ \angle A=60{}^\circ  $,[MATH_PARSE_FAILED_87],\angle A=60{}^\circ,[MATH_PARSE_FAILED_87],conversion_failure_placeholder; historical per-object error unavailable,True,
88,"{'block_index': 46, 'paragraph_index': 82, 'table_index': 8, 'row': 0, 'col': 0, 'run_index': 11, 'in_table_cell': True}",101,3.△ABC中，已知[MathType OLE]，[MathType OLE]，[MathType OLE]，試求[MathType OLE]。,word/embeddings/oleObject88.bin,$ \angle C $,[MATH_PARSE_FAILED_88],\angle C,[MATH_PARSE_FAILED_88],conversion_failure_placeholder; historical per-object error unavailable,True,
89,"{'block_index': 52, 'paragraph_index': 94, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",113,在△ABC中，自頂點C作底邊[MathType OLE]上的高[MathType OLE]，如圖8所示。,word/embeddings/oleObject89.bin,$  {\overline{ AB }}  $,[MATH_PARSE_FAILED_89],{\overline{ AB }},[MATH_PARSE_FAILED_89],conversion_failure_placeholder; historical per-object error unavailable,True,
90,"{'block_index': 52, 'paragraph_index': 94, 'table_index': None, 'row': None, 'col': None, 'run_index': 8, 'in_table_cell': False}",113,在△ABC中，自頂點C作底邊[MathType OLE]上的高[MathType OLE]，如圖8所示。,word/embeddings/oleObject90.bin,$  {\overline{ CD }}  $,[MATH_PARSE_FAILED_90],{\overline{ CD }},[MATH_PARSE_FAILED_90],conversion_failure_placeholder; historical per-object error unavailable,True,
91,"{'block_index': 53, 'paragraph_index': 95, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",114,在直角三角形ACD中，[MathType OLE]，[MathType OLE]，,word/embeddings/oleObject91.bin,$ sinA=\frac {  {\overline{ CD }}  } { b } $,[MATH_PARSE_FAILED_91],sinA=\frac { {\overline{ CD }} } { b },[MATH_PARSE_FAILED_91],conversion_failure_placeholder; historical per-object error unavailable,True,
92,"{'block_index': 53, 'paragraph_index': 95, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",114,在直角三角形ACD中，[MathType OLE]，[MathType OLE]，,word/embeddings/oleObject92.bin,$ cosA=\frac {  {\overline{ AD }}  } { b } $,[MATH_PARSE_FAILED_92],cosA=\frac { {\overline{ AD }} } { b },[MATH_PARSE_FAILED_92],conversion_failure_placeholder; historical per-object error unavailable,True,
93,"{'block_index': 54, 'paragraph_index': 96, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",115,由此可得[MathType OLE]，[MathType OLE],word/embeddings/oleObject93.bin,$  {\overline{ CD }} =bsinA $,[MATH_PARSE_FAILED_93],{\overline{ CD }} =bsinA,[MATH_PARSE_FAILED_93],conversion_failure_placeholder; historical per-object error unavailable,True,
94,"{'block_index': 54, 'paragraph_index': 96, 'table_index': None, 'row': None, 'col': None, 'run_index': 3, 'in_table_cell': False}",115,由此可得[MathType OLE]，[MathType OLE],word/embeddings/oleObject94.bin,$  {\overline{ AD }} =bcosA $,[MATH_PARSE_FAILED_94],{\overline{ AD }} =bcosA,[MATH_PARSE_FAILED_94],conversion_failure_placeholder; historical per-object error unavailable,True,
95,"{'block_index': 55, 'paragraph_index': 97, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",116,於是[MathType OLE],word/embeddings/oleObject95.bin,$  {\overline{ BD }} =c-bcosA $,[MATH_PARSE_FAILED_95],{\overline{ BD }} =c-bcosA,[MATH_PARSE_FAILED_95],conversion_failure_placeholder; historical per-object error unavailable,True,
96,"{'block_index': 57, 'paragraph_index': 99, 'table_index': None, 'row': None, 'col': None, 'run_index': 0, 'in_table_cell': False}",120,[MathType OLE],word/embeddings/oleObject96.bin,$ a ^ { 2 } = {\overline{ CD }}  ^ { 2 } + {\overline{ BD }}  ^ { 2 }  $,[MATH_PARSE_FAILED_96],a ^ { 2 } = {\overline{ CD }} ^ { 2 } + {\overline{ BD }} ^ { 2 },[MATH_PARSE_FAILED_96],conversion_failure_placeholder; historical per-object error unavailable,True,
97,"{'block_index': 58, 'paragraph_index': 100, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",121,[MathType OLE],word/embeddings/oleObject97.bin,$ =\left ( { bsinA } \right ) ^ { 2 } +\left ( { c-bcosA } \right ) ^ { 2 }  $,[MATH_PARSE_FAILED_97],=\left ( { bsinA } \right ) ^ { 2 } +\left ( { c-bcosA } \right ) ^ { 2 },[MATH_PARSE_FAILED_97],conversion_failure_placeholder; historical per-object error unavailable,True,
98,"{'block_index': 59, 'paragraph_index': 101, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",122,[MathType OLE],word/embeddings/oleObject98.bin,$ =b ^ { 2 } sin ^ { 2 } A+c ^ { 2 } -2bccosA+b ^ { 2 } cos ^ { 2 } A $,[MATH_PARSE_FAILED_98],=b ^ { 2 } sin ^ { 2 } A+c ^ { 2 } -2bccosA+b ^ { 2 } cos ^ { 2 } A,[MATH_PARSE_FAILED_98],conversion_failure_placeholder; historical per-object error unavailable,True,
99,"{'block_index': 60, 'paragraph_index': 102, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",123,[MathType OLE],word/embeddings/oleObject99.bin,$ =b ^ { 2 } \left ( { sin ^ { 2 } A+cos ^ { 2 } A } \right )+c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_99],=b ^ { 2 } \left ( { sin ^ { 2 } A+cos ^ { 2 } A } \right )+c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_99],conversion_failure_placeholder; historical per-object error unavailable,True,
100,"{'block_index': 61, 'paragraph_index': 103, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",124,[MathType OLE],word/embeddings/oleObject100.bin,$ =b ^ { 2 } +c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_100],=b ^ { 2 } +c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_100],conversion_failure_placeholder; historical per-object error unavailable,True,
101,"{'block_index': 64, 'paragraph_index': 107, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 12, 'in_table_cell': True}",128,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則,word/embeddings/oleObject101.bin,$ \angle A $,[MATH_PARSE_FAILED_101],\angle A,[MATH_PARSE_FAILED_101],conversion_failure_placeholder; historical per-object error unavailable,True,
102,"{'block_index': 64, 'paragraph_index': 107, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 14, 'in_table_cell': True}",128,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則,word/embeddings/oleObject102.bin,$ \angle B $,[MATH_PARSE_FAILED_102],\angle B,[MATH_PARSE_FAILED_102],conversion_failure_placeholder; historical per-object error unavailable,True,
103,"{'block_index': 64, 'paragraph_index': 107, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 16, 'in_table_cell': True}",128,在△ABC中，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，則,word/embeddings/oleObject103.bin,$ \angle C $,[MATH_PARSE_FAILED_103],\angle C,[MATH_PARSE_FAILED_103],conversion_failure_placeholder; historical per-object error unavailable,True,
104,"{'block_index': 64, 'paragraph_index': 109, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",130,▲圖9▲圖9[MathType OLE][MathType OLE][MathType OLE],word/embeddings/oleObject104.bin,$ a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA $,[MATH_PARSE_FAILED_104],a ^ { 2 } =b ^ { 2 } +c ^ { 2 } -2bccosA,[MATH_PARSE_FAILED_104],conversion_failure_placeholder; historical per-object error unavailable,True,
105,"{'block_index': 64, 'paragraph_index': 109, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 3, 'in_table_cell': True}",130,▲圖9▲圖9[MathType OLE][MathType OLE][MathType OLE],word/embeddings/oleObject105.bin,$ b ^ { 2 } =c ^ { 2 } +a ^ { 2 } -2cacosB $,[MATH_PARSE_FAILED_105],b ^ { 2 } =c ^ { 2 } +a ^ { 2 } -2cacosB,[MATH_PARSE_FAILED_105],conversion_failure_placeholder; historical per-object error unavailable,True,
106,"{'block_index': 64, 'paragraph_index': 109, 'table_index': 9, 'row': 1, 'col': 0, 'run_index': 5, 'in_table_cell': True}",130,▲圖9▲圖9[MathType OLE][MathType OLE][MathType OLE],word/embeddings/oleObject106.bin,$ c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC $,[MATH_PARSE_FAILED_106],c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC,[MATH_PARSE_FAILED_106],conversion_failure_placeholder; historical per-object error unavailable,True,
107,"{'block_index': 66, 'paragraph_index': 111, 'table_index': None, 'row': None, 'col': None, 'run_index': 0, 'in_table_cell': False}",134,[MathType OLE]，[MathType OLE]，[MathType OLE],word/embeddings/oleObject107.bin,$ cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 }  } { 2bc } $,[MATH_PARSE_FAILED_107],cosA=\frac { b ^ { 2 } +c ^ { 2 } -a ^ { 2 } } { 2bc },[MATH_PARSE_FAILED_107],conversion_failure_placeholder; historical per-object error unavailable,True,
108,"{'block_index': 66, 'paragraph_index': 111, 'table_index': None, 'row': None, 'col': None, 'run_index': 2, 'in_table_cell': False}",134,[MathType OLE]，[MathType OLE]，[MathType OLE],word/embeddings/oleObject108.bin,$ cosB=\frac { c ^ { 2 } +a ^ { 2 } -b ^ { 2 }  } { 2ca } $,[MATH_PARSE_FAILED_108],cosB=\frac { c ^ { 2 } +a ^ { 2 } -b ^ { 2 } } { 2ca },[MATH_PARSE_FAILED_108],conversion_failure_placeholder; historical per-object error unavailable,True,
109,"{'block_index': 66, 'paragraph_index': 111, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",134,[MathType OLE]，[MathType OLE]，[MathType OLE],word/embeddings/oleObject109.bin,$ cosC=\frac { a ^ { 2 } +b ^ { 2 } -c ^ { 2 }  } { 2ab } $,[MATH_PARSE_FAILED_109],cosC=\frac { a ^ { 2 } +b ^ { 2 } -c ^ { 2 } } { 2ab },[MATH_PARSE_FAILED_109],conversion_failure_placeholder; historical per-object error unavailable,True,
110,"{'block_index': 70, 'paragraph_index': 115, 'table_index': None, 'row': None, 'col': None, 'run_index': 2, 'in_table_cell': False}",138,事實上，當[MathType OLE]為直角時，則[MathType OLE]，則[MathType OLE]，這就是我們熟悉的畢氏定理，所以畢氏定理只是餘弦定理的一個特殊情況。,word/embeddings/oleObject110.bin,$ \angle C=90{}^\circ  $,[MATH_PARSE_FAILED_110],\angle C=90{}^\circ,[MATH_PARSE_FAILED_110],conversion_failure_placeholder; historical per-object error unavailable,True,
111,"{'block_index': 70, 'paragraph_index': 115, 'table_index': None, 'row': None, 'col': None, 'run_index': 4, 'in_table_cell': False}",138,事實上，當[MathType OLE]為直角時，則[MathType OLE]，則[MathType OLE]，這就是我們熟悉的畢氏定理，所以畢氏定理只是餘弦定理的一個特殊情況。,word/embeddings/oleObject111.bin,$ cosC=0 $,[MATH_PARSE_FAILED_111],cosC=0,[MATH_PARSE_FAILED_111],conversion_failure_placeholder; historical per-object error unavailable,True,
112,"{'block_index': 70, 'paragraph_index': 115, 'table_index': None, 'row': None, 'col': None, 'run_index': 6, 'in_table_cell': False}",138,事實上，當[MathType OLE]為直角時，則[MathType OLE]，則[MathType OLE]，這就是我們熟悉的畢氏定理，所以畢氏定理只是餘弦定理的一個特殊情況。,word/embeddings/oleObject112.bin,$ c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC=a ^ { 2 } +b ^ { 2 }  $,[MATH_PARSE_FAILED_112],c ^ { 2 } =a ^ { 2 } +b ^ { 2 } -2abcosC=a ^ { 2 } +b ^ { 2 },[MATH_PARSE_FAILED_112],conversion_failure_placeholder; historical per-object error unavailable,True,
113,"{'block_index': 72, 'paragraph_index': 118, 'table_index': 10, 'row': 0, 'col': 0, 'run_index': 4, 'in_table_cell': True}",143,在△ABC中，已知[MathType OLE]、[MathType OLE]且[MathType OLE]，試求a之長。,word/embeddings/oleObject113.bin,$ b=5 $,[MATH_PARSE_FAILED_113],b=5,[MATH_PARSE_FAILED_113],conversion_failure_placeholder; historical per-object error unavailable,True,
