skill_id,skill_en_name,skill_ch_name,description,input_type,gemini_prompt,consecutive_correct_required,is_active,order_index
set_operation_basic,Basic Set Operations,"集合的基本運算 ($\cap, \cup, '$)",熟練集合的交集、聯集、補集運算及文氏圖表示。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確執行集合的交集 $\cap$、聯集 $\cup$ 或補集 ' 運算。若錯誤，提醒他們集合運算的定義。,3,TRUE,4203
sample_space_events,Sample Space & Events,樣本空間與事件,熟練樣本空間 $S$、事件 $A$ 的表示，並理解子集關係。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確列出樣本空間 $S$ 和事件 $A$，並判斷事件之間的子集關係。,3,TRUE,4205
classical_probability,Classical Probability,古典機率,熟練應用 $P(A) = \frac{n(A)}{n(S)}$ 計算古典機率。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確計算樣本空間 $n(S)$ 和事件數 $n(A)$。,3,TRUE,4210
prob_mutually_exclusive,Probability (Mutually Exclusive),互斥事件機率,熟練判斷互斥事件並應用 $P(A \cup B) = P(A) + P(B)$ 應用。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確識別事件是否互斥。若為互斥事件，提醒他們 $P(A \cup B) = P(A) + P(B)$。,3,TRUE,4215
prob_general_addition,Probability (General Addition),一般加法定理,熟練 $P(A \cup B) = P(A) + P(B) - P(A \cap B)$ 應用。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用一般加法定理，特別是減去 $P(A \cap B)$ 的部分。,3,TRUE,4220
conditional_probability,Conditional Probability,條件機率,熟練 $P(BA) = \frac{P(A \cap B)}{P(A)}$ 應用。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確列出條件機率公式 $P(B,3,TRUE,4225
independent_events,Independent Events,獨立事件,熟練判斷獨立事件並應用 $P(A \cap B) = P(A) P(B)$。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用獨立事件的乘法公式 $P(A \cap B) = P(A) P(B)$。,3,TRUE,4230
math_expectation_basic,Mathematical Expectation (Basic),數學期望值基礎,熟練 $E(X) = \sum x_i P(x_i)$ 計算基礎期望值。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確列出期望值公式 $E(X) = \sum x_i P(x_i)$，並確認 $x_i$ (結果) 和 $P(x_i)$ (機率) 的對應及計算總和是否正確。,3,TRUE,4235
math_expectation_app,Mathematical Expectation (App),數學期望值應用,熟練解決中獎、保險等應用題。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確將應用情境轉換為機率與價值乘積的和。若錯誤，提醒他們檢查所有可能的結果及其對應的「淨值」。,3,TRUE,4240
population_sample_concept,Population/Sample Concept,母群體與樣本概念,認識母群體、樣本、參數、統計量等統計基本名詞。,text,你是功文數學 AI 批改分析師。請檢查學生對母群體、樣本、參數或統計量等基本概念的定義是否正確。若錯誤，提醒他們母群體是整體，樣本是部分。,3,TRUE,4303
sampling_methods,Sampling Methods,抽樣方法,認識簡單隨機抽樣、分層抽樣等抽樣方法。,text,你是功文數學 AI 批改分析師。請檢查學生對各種抽樣方法（如簡單隨機、分層、系統）的敘述是否符合定義。,3,TRUE,4305
freq_table_grouping,Frequency Table Grouping,次數分配表的編製,熟練計算全距、定組數、組距，並編製次數分配表。,text,你是功文數學 AI 批改分析師。請檢查學生在編製次數分配表時，全距、組數、組距的計算是否正確。,3,TRUE,4308
freq_graph_plot,Frequency Graph Plot,次數分配圖的繪製與解讀,熟練繪製次數分配直方圖、折線圖，並從圖中解讀資訊。,handwriting,你是功文數學 AI 批改分析師。請檢查學生繪製的次數分配圖形（直方圖/折線圖）是否正確標示組界、組中點、次數，並正確解讀數據。,3,TRUE,4310
cumulative_freq,Cumulative Frequency,累積次數表與圖,熟練編製與繪製累積次數分配表與圖。,handwriting,你是功文數學 AI 批改分析師。請檢查學生繪製的累積次數圖或表是否正確，特別是「以下」與「以上」累積次數的計算。,3,TRUE,4310
mean_calculation,Mean Calculation,算術平均數計算,熟練計算末分組資料與分組資料的算術平均數。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確計算算術平均數 $\bar{x}$。若為分組資料，提醒他們使用組中點乘以次數來計算。,3,TRUE,4310
median_mode_concept,Median & Mode Concept,中位數與眾數判斷,熟練判斷中位數與眾數。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確找出中位數（中間值）和眾數（最常出現的值/組）。若錯誤，提醒他們計算中位數前需要先排序數據。,3,TRUE,4310
measures_of_dispersion,"Measures of Dispersion (Range, QD)","離散趨勢量數 (全距, 四分位距)",熟練計算全距和四分位距。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確計算全距（最大值-最小值）或四分位距（$Q_3 - Q_1$）。,3,TRUE,4310
std_dev_variance,Standard Deviation & Variance,標準差與變異數,"熟練計算母體/樣本的標準差 $\sigma, S$ 和變異數 $\sigma^2, S^2$。",text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用標準差或變異數的公式，並注意母體($N$)與樣本($n-1$)分母的差異。,3,TRUE,4310
linear_transformation,Linear Transformation of Data,資料的線性變換,熟練 $y=ax+b$ 對平均數、標準差、變異數的影響。,text,你是功文數學 AI 批改分析師。請檢查學生是否正確應用線性變換的性質：平均數 $\bar{y}=a\bar{x}+b$，標準差 $S_y=S_x$，變異數 $S_y^2=a^2 S_x^2$。**,3,TRUE,4310
normal_distribution,Normal Distribution (68-95-99.7),常態分佈 (68-95-99.7),認識常態分佈，並應用 68-95-99.7 法則。,handwriting,你是功文數學 AI 批改分析師。請檢查學生是否正確應用 68-95-99.7 法則來估計數據落點。,3,TRUE,4310
radian_deg_conv,Radian/Degree Conversion,弧度與度的換算,熟練度與弧度（弳）的轉換公式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生弧度與度的換算公式 $180^\circ = \pi$ 弧度。,3,TRUE,1000
arc_len_area,Arc Length and Area,扇形弧長與面積,熟練扇形的弧長 $S=r\theta$ 與面積 $A=\frac{1}{2}r^2\theta$ 公式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生扇形公式中的 $\theta$ 必須使用弧度。,3,TRUE,1010
coterminal_angles,Coterminal Angles,同界角,判斷並計算同界角，理解 $\theta_1 - \theta_2 = n \times 360^\circ$ 的關係。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生同界角及一般角的表示方法。,3,TRUE,1020
right_tri_trig,Right Triangle Trig,銳角三角函數定義,"熟練直角三角形中 $\sin$, $\cos$, $\tan$ 的銳角三角函數定義。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生 $\sin$ 為對邊/斜邊，$\cos$ 為鄰邊/斜邊。,3,TRUE,1030
trig_basic_id,Basic Trig Identities,三角函數基本關係式,熟練 $\tan\theta = \frac{\sin\theta}{\cos\theta}$ 和 $\sin^2\theta + \cos^2\theta = 1$ 等基本關係式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生平方和關係式 $\sin^2\theta + \cos^2\theta = 1$。,3,TRUE,1040
quadrant_trig,Quadrant Trig Values,任意角三角函數值,"判斷標準位置角所在的象限，並計算其 $\sin$, $\cos$, $\tan$ 值。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生利用參考角或象限正負號計算任意角三角函數值。,3,TRUE,1050
periodicity_trig,Periodicity of Trig,正/餘弦函數週期,判斷正弦、餘弦函數圖形的定義域、值域與週期。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明 $y=\sin x$ 和 $y=\cos x$ 的基本週期均為 $2\pi$。,3,TRUE,1060
area_formula_sas,Triangle Area (SAS),SAS三角形面積公式,熟練使用 $\triangle = \frac{1}{2}ab\sin C$ 計算三角形面積。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生 $\frac{1}{2}$ 乘以兩邊及夾角的正弦值。,3,TRUE,1070
sine_law,Law of Sines,正弦定理,熟練使用 $\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C} = 2R$ 求解三角形。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，強調正弦定理用於「對邊與對角」的關係。,3,TRUE,1080
cosine_law,Law of Cosines,餘弦定理,熟練使用 $c^2 = a^2+b^2-2ab\cos C$ 求解三角形邊長或角度。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒餘弦定理用於 SSS 或 SAS 類型。,3,TRUE,1090
trig_survey,Trigonometric Survey,三角測量,應用正弦定理與餘弦定理解決平面三角測量問題。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，引導學生繪製測量圖形並找出已知條件。,3,TRUE,1100
vector_def_add,Vector Definition and Addition,向量定義與加法,理解向量定義（大小與方向），並進行向量加法 $\vec{AB}+\vec{BC}=\vec{AC}$ 作圖。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明向量加法的三角形法則或平行四邊形法則。,3,TRUE,1110
vector_coord_len,Vector Coordinates and Length,向量坐標與長度,"熟練計算 $\vec{AB}=(x_2-x_1, y_2-y_1)$ 及向量長度 $\vec{AB}",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒向量坐標是終點減起點。,3,TRUE,1120
vector_scalar_mult,Vector Scalar Multiplication,向量實數積,熟練進行向量與實數的乘積運算，並判斷向量平行關係。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明實數積改變向量長度（可能改變方向）。,3,TRUE,1130
dot_product,Vector Dot Product,向量內積,熟練計算向量內積 $\vec{a}\cdot\vec{b} =\vec{a}\vec{b}\cos\theta$ 或 $\vec{a}\cdot\vec{b} = a_1b_1+a_2b_2$。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明向量與實數的乘積運算，並判斷向量平行關係。,3,TRUE,1140
circle_std_eq,Circle Standard Equation,圓的標準式,熟練圓的標準式 $(x-h)^2+(y-k)^2=r^2$ 的應用。,text,"分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒圓心座標 $(h, k)$ 的符號。",3,TRUE,1150
circle_general_eq,Circle General Equation,圓的一般式,熟練圓的一般式 $x^2+y^2+dx+ey+f=0$ 與判別式 $D=d^2+e^2-4f$。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明 $D>0$ 為圓、 $D=0$ 為點。,3,TRUE,1160
point_circle_rel,Point-Circle Relation,點與圓的位置關係,"判斷點 $P(x_0, y_0)$ 相對於圓 $C$ 的位置（內部、圓上、外部）。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生比較點到圓心的距離與半徑 $r$。,3,TRUE,1170
line_circle_rel,Line-Circle Relation,圓與直線的關係,判斷直線 $L$ 與圓 $C$ 的交點個數（不相交、相切、交於兩點）。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生比較圓心到直線的距離 $d$ 與半徑 $r$。,3,TRUE,1180
tangent_line_on,Tangent Line on Circle,圓上的切線方程式,求解圓上一點的切線方程式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，提醒圓心與切點連線會垂直切線。,3,TRUE,1190
